Ref,Val,Package,PosX,PosY,Rot,Side
"R-DR34","SK6812MINI-E","SK6812MINI-E_ReverseMount",136.413400,-177.791400,0.000000,bottom
"R-DR36","SK6812MINI-E","SK6812MINI-E_ReverseMount",114.982400,-197.791400,0.000000,bottom
"R-HER1","MT9102ET","HE_KEY_1.00u",73.991600,-116.484600,3.000000,bottom
"R-HER2","MT9102ET","HE_KEY_1.00u",93.075400,-116.241400,0.000000,bottom
"R-HER3","MT9102ET","HE_KEY_1.00u",112.125400,-116.241400,0.000000,bottom
"R-HER4","MT9102ET","HE_KEY_2.00u",121.650400,-116.241400,0.000000,bottom
"R-HER5","MT9102ET","HE_KEY_1.00u",131.175400,-116.241400,0.000000,bottom
"R-HER6","MT9102ET","HE_KEY_1.00u",54.596000,-118.194000,6.000000,bottom
"R-HER7","MT9102ET","HE_KEY_1.00u",35.877400,-120.626000,9.000000,bottom
"R-HER8","MT9102ET","HE_KEY_1.00u",17.073600,-123.617600,9.000000,bottom
"R-HER9","MT9102ET","HE_KEY_1.00u",85.455400,-135.291400,0.000000,bottom
"R-HER10","MT9102ET","HE_KEY_1.00u",104.505400,-135.291400,0.000000,bottom
"R-HER11","MT9102ET","HE_KEY_1.50u",128.317400,-135.291400,0.000000,bottom
"R-HER12","MT9102ET","HE_KEY_1.00u",66.188000,-136.048200,6.000000,bottom
"R-HER13","MT9102ET","HE_KEY_1.00u",47.244800,-138.032600,6.000000,bottom
"R-HER14","MT9102ET","HE_KEY_1.00u",28.526400,-140.929200,9.000000,bottom
"R-HER15","MT9102ET","HE_KEY_1.00u",9.717200,-143.917000,9.000000,bottom
"R-HER16","MT9102ET","HE_KEY_1.00u",80.429800,-154.554200,3.000000,bottom
"R-HER17","MT9102ET","HE_KEY_1.00u",100.694400,-154.341400,0.000000,bottom
"R-HER18","MT9102ET","HE_KEY_1.75u",126.888400,-154.341400,0.000000,bottom
"R-HER19","MT9102ET","HE_KEY_1.00u",61.226200,-155.611000,6.000000,bottom
"R-HER20","MT9102ET","HE_KEY_1.00u",42.719400,-157.814200,9.000000,bottom
"R-HER21","MT9102ET","HE_KEY_1.00u",23.916200,-160.791400,9.000000,bottom
"R-HER22","MT9102ET","HE_KEY_1.00u",77.037200,-173.866400,3.000000,bottom
"R-HER23","MT9102ET","HE_KEY_1.00u",95.932400,-173.391400,0.000000,bottom
"R-HER24","MT9102ET","HE_KEY_1.00u",114.982400,-173.391400,0.000000,bottom
"R-HER25","MT9102ET","HE_KEY_2.25u",126.888400,-173.391400,0.000000,bottom
"R-HER26","MT9102ET","HE_KEY_1.25u",136.413400,-173.391400,0.000000,bottom
"R-HER27","MT9102ET","HE_KEY_1.00u",57.787000,-175.254000,6.000000,bottom
"R-HER28","MT9102ET","HE_KEY_1.00u",39.281000,-177.842800,9.000000,bottom
"R-HER29","MT9102ET","HE_KEY_1.00u",20.442600,-180.827400,9.000000,bottom
"R-HER30","MT9102ET","HE_KEY_1.00u",95.932400,-192.441400,180.000000,bottom
"R-HER31","MT9102ET","HE_KEY_1.50u",100.694400,-192.441400,0.000000,bottom
"R-HER32","MT9102ET","HE_KEY_1.00u",114.982400,-192.441400,0.000000,bottom
"R-HER33","MT9102ET","HE_KEY_1.50u",129.270400,-192.441400,180.000000,bottom
"R-HER34","MT9102ET","HE_KEY_1.00u",134.032400,-192.441400,0.000000,bottom
"R-HER35","MT9102ET","HE_KEY_1.50u",59.778700,-194.199000,6.000000,bottom
"R-HER36","MT9102ET","HE_KEY_2.25u",23.423300,-199.641500,9.000000,bottom
"R-JR1","FFC_12P","FFC_12P_1.00mm_TopContact",6.776400,-164.716400,90.000000,bottom
