Designator,Mid X (mm),Mid Y (mm),Layer,Rotation (deg),Value,Package
RH-CR21B,34.324900,-168.451300,Bottom,-6.268000,4.7n,C1_C_0402_1005Metric
RH-CR22A,76.496400,-171.550600,Bottom,-0.030000,100n,C1_C_0402_1005Metric
RH-CR22B,89.703600,-185.343600,Bottom,-0.030000,4.7n,C1_C_0402_1005Metric
RH-CR23A,95.556000,-171.542100,Bottom,0.000000,100n,C1_C_0402_1005Metric
RH-CR23B,108.756000,-185.342100,Bottom,0.000000,4.7n,C1_C_0402_1005Metric
RH-CR25A,126.512000,-171.542100,Bottom,0.000000,100n,C1_C_0402_1005Metric
RH-CR25B,139.712000,-185.342100,Bottom,0.000000,4.7n,C1_C_0402_1005Metric
RH-CR27A,56.821800,-172.054500,Bottom,-1.772000,100n,C1_C_0402_1005Metric
RH-CR27B,70.442200,-185.439700,Bottom,-1.772000,4.7n,C1_C_0402_1005Metric
RH-CR28A,35.683800,-173.534500,Bottom,-4.583000,100n,C1_C_0402_1005Metric
RH-CR28B,49.944200,-186.235700,Bottom,-4.583000,4.7n,C1_C_0402_1005Metric
RH-CR29A,14.478600,-175.807600,Bottom,-6.469000,100n,C1_C_0402_1005Metric
RH-CR29B,29.149400,-188.032600,Bottom,-6.469000,4.7n,C1_C_0402_1005Metric
RH-CR2A,92.699000,-114.392100,Bottom,0.000000,100n,C1_C_0402_1005Metric
RH-CR2B,105.899000,-128.192100,Bottom,0.000000,4.7n,C1_C_0402_1005Metric
RH-CR30A,108.591000,-198.767100,Bottom,0.000000,100n,C1_C_0402_1005Metric
RH-CR30B,108.591000,-194.767100,Bottom,0.000000,4.7n,C1_C_0402_1005Metric
RH-CR33A,128.894000,-190.592100,Bottom,0.000000,100n,C1_C_0402_1005Metric
RH-CR33B,142.094000,-204.392100,Bottom,0.000000,4.7n,C1_C_0402_1005Metric
RH-CR35A,56.953100,-191.238200,Bottom,-1.778000,100n,C1_C_0402_1005Metric
RH-CR35B,70.574900,-204.622000,Bottom,-1.778000,4.7n,C1_C_0402_1005Metric
RH-CR36A,18.504800,-194.547100,Bottom,-5.955000,100n,C1_C_0402_1005Metric
RH-CR36B,33.065200,-206.903100,Bottom,-5.955000,4.7n,C1_C_0402_1005Metric
RH-CR4A,121.274000,-114.392100,Bottom,0.000000,100n,C1_C_0402_1005Metric
RH-CR4B,134.474000,-128.192100,Bottom,0.000000,4.7n,C1_C_0402_1005Metric
RH-CR6A,53.709700,-115.057700,Bottom,-2.185000,100n,C1_C_0402_1005Metric
RH-CR6B,67.426300,-128.344500,Bottom,-2.185000,4.7n,C1_C_0402_1005Metric
RH-CR7A,32.461400,-116.702100,Bottom,-5.012000,100n,C1_C_0402_1005Metric
RH-CR7B,46.816600,-129.296100,Bottom,-5.012000,4.7n,C1_C_0402_1005Metric
RH-CR8A,11.380300,-119.008600,Bottom,-6.500000,100n,C1_C_0402_1005Metric
RH-CR8B,26.057700,-131.225600,Bottom,-6.500000,4.7n,C1_C_0402_1005Metric
RH-CR9A,85.079000,-133.442100,Bottom,0.000000,100n,C1_C_0402_1005Metric
RH-CR9B,98.279000,-147.242100,Bottom,0.000000,4.7n,C1_C_0402_1005Metric
RH-HER1,80.227000,-121.312100,Bottom,-0.122000,MT9102ET,HE_KEY_1.00u
RH-HER10,110.729000,-140.342100,Bottom,0.000000,MT9102ET,HE_KEY_1.00u
RH-HER11,134.541000,-140.342100,Bottom,0.000000,MT9102ET,HE_KEY_1.50u
RH-HER12,72.516000,-140.452100,Bottom,-0.665000,MT9102ET,HE_KEY_1.00u
RH-HER13,52.292000,-141.140100,Bottom,-3.302000,MT9102ET,HE_KEY_1.00u
RH-HER14,31.197000,-142.839100,Bottom,-5.971000,MT9102ET,HE_KEY_1.00u
RH-HER15,10.815000,-145.068100,Bottom,-6.500000,MT9102ET,HE_KEY_1.00u
RH-HER16,87.869000,-159.392100,Bottom,0.000000,MT9102ET,HE_KEY_1.00u
RH-HER17,106.918000,-159.392100,Bottom,0.000000,MT9102ET,HE_KEY_1.00u
RH-HER18,133.112000,-159.392100,Bottom,0.000000,MT9102ET,HE_KEY_1.75u
RH-HER19,68.634000,-159.573100,Bottom,-1.102000,MT9102ET,HE_KEY_1.00u
RH-HER2,99.299000,-121.292100,Bottom,0.000000,MT9102ET,HE_KEY_1.00u
RH-HER20,48.098000,-160.450100,Bottom,-3.869000,MT9102ET,HE_KEY_1.00u
RH-HER21,27.011000,-162.313100,Bottom,-6.268000,MT9102ET,HE_KEY_1.00u
RH-HER22,83.100000,-178.447100,Bottom,-0.030000,MT9102ET,HE_KEY_1.00u
RH-HER23,102.156000,-178.442100,Bottom,0.000000,MT9102ET,HE_KEY_1.00u
RH-HER25,133.112000,-178.442100,Bottom,0.000000,MT9102ET,HE_KEY_2.25u
RH-HER27,63.632000,-178.747100,Bottom,-1.772000,MT9102ET,HE_KEY_1.00u
RH-HER28,42.814000,-179.885100,Bottom,-4.583000,MT9102ET,HE_KEY_1.00u
