Ref,Val,Package,PosX,PosY,Rot,Side
"AML1","SN74LV4051A","AM1_SOIC-16_3.9x9.9mm_P1.27mm",32.418000,-48.000000,90.000000,bottom
"AML2","SN74LV4051A","AM1_SOIC-16_3.9x9.9mm_P1.27mm",32.918000,-40.000000,90.000000,bottom
"AML3","SN74LV4051A","AM1_SOIC-16_3.9x9.9mm_P1.27mm",68.538800,-60.670400,-3.000000,bottom
"AML4","SN74LV4051A","AM1_SOIC-16_3.9x9.9mm_P1.27mm",75.418000,-82.425000,-90.000000,bottom
"AML5","SN74LV4051A","AM1_SOIC-16_3.9x9.9mm_P1.27mm",5.918000,-49.500000,90.000000,bottom
"CL1A","100n","C1_C_0402_1005Metric",7.210000,-2.625000,0.000000,bottom
"CL1B","4.7n","C1_C_0402_1005Metric",20.410000,-16.425000,0.000000,bottom
"CL2A","100n","C1_C_0402_1005Metric",26.260000,-2.625000,0.000000,bottom
"CL2B","4.7n","C1_C_0402_1005Metric",39.460000,-16.425000,0.000000,bottom
"CL3A","100n","C1_C_0402_1005Metric",45.310000,-2.625000,0.000000,bottom
"CL3B","4.7n","C1_C_0402_1005Metric",58.510000,-16.425000,0.000000,bottom
"CL4A","100n","C1_C_0402_1005Metric",64.764900,-2.531900,-3.000000,bottom
"CL4B","4.7n","C1_C_0402_1005Metric",77.224600,-17.003700,-3.000000,bottom
"CL5A","100n","C1_C_0402_1005Metric",84.547000,-3.925900,-2.000000,bottom
"CL5B","4.7n","C1_C_0402_1005Metric",96.232200,-19.030100,-2.000000,bottom
"CL6A","100n","C1_C_0402_1005Metric",103.669400,-6.060700,1.000000,bottom
"CL6B","4.7n","C1_C_0402_1005Metric",114.548200,-21.755700,1.000000,bottom
"CL7A","100n","C1_C_0402_1005Metric",122.471900,-9.054300,4.000000,bottom
"CL7B","4.7n","C1_C_0402_1005Metric",133.350600,-24.749400,4.000000,bottom
"CL8A","100n","C1_C_0402_1005Metric",10.068000,-21.675000,0.000000,bottom
